Id	BgName	Description	Length	DateTime
1	А		1	2024-12-24 00:36:00.0000000
2	ААВ		3	2024-12-24 00:36:00.0000000
3	ААРДИСАН		8	2024-12-24 00:36:00.0000000
4	ААРДИСВАМ		9	2024-12-24 00:36:00.0000000
5	ААРМА		5	2024-12-24 00:36:00.0000000
6	АБ		2	2024-12-24 00:36:00.0000000
7	АБАДЖИЯ		7	2024-12-24 00:36:00.0000000
8	АБДАЛ		5	2024-12-24 00:36:00.0000000
9	АБДИКАЦИЯ		9	2024-12-24 00:36:00.0000000
10	АБДИКИРАМ		9	2024-12-24 00:36:00.0000000
11	АБЕРАЦИЯ		8	2024-12-24 00:36:00.0000000
12	АБИТУРИЕНТ		10	2024-12-24 00:36:00.0000000
13	АБЛОН		5	2024-12-24 00:36:00.0000000
14	АБЛОНЕН		7	2024-12-24 00:36:00.0000000
15	АБЛОНИЗИРАМ		11	2024-12-24 00:36:00.0000000
16	АБЛОНИЗИРАН		11	2024-12-24 00:36:00.0000000
17	АБЛОНИЗИРАНЕ		12	2024-12-24 00:36:00.0000000
18	АБЛОННОСТ		9	2024-12-24 00:36:00.0000000
19	АБОНАТ		6	2024-12-24 00:36:00.0000000
20	АБОНИРАМ		8	2024-12-24 00:36:00.0000000
21	АБОРИГЕН		8	2024-12-24 00:36:00.0000000
22	АБОРТ		5	2024-12-24 00:36:00.0000000
23	АБОРТИРАМ		9	2024-12-24 00:36:00.0000000
24	АБСОЛВЕНТ		9	2024-12-24 00:36:00.0000000
25	АБСОЛЮТЕН		9	2024-12-24 00:36:00.0000000
26	АБСОЛЮТИЗИРАМ		13	2024-12-24 00:36:00.0000000
27	АБСОЛЮТИЗЪМ		11	2024-12-24 00:36:00.0000000
28	АБСОЛЮТНА		9	2024-12-24 00:36:00.0000000
29	АБСОЛЮТНО		9	2024-12-24 00:36:00.0000000
30	АБСОЛЮТНОСТ		11	2024-12-24 00:36:00.0000000
31	АБСОРБИРАМ		10	2024-12-24 00:36:00.0000000
32	АБСОРБЦИЯ		9	2024-12-24 00:36:00.0000000
33	АБСТРАКТЕН		10	2024-12-24 00:36:00.0000000
34	АБСТРАКЦИЯ		10	2024-12-24 00:36:00.0000000
35	АБСТРАХИРАМ		11	2024-12-24 00:36:00.0000000
36	АБСТРАХИРАМСЕ		13	2024-12-24 00:36:00.0000000
37	АБСТРАХИРАНЕ		12	2024-12-24 00:36:00.0000000
38	АБСУРД		6	2024-12-24 00:36:00.0000000
39	АБСУРДЕН		8	2024-12-24 00:36:00.0000000
40	АБСУРДНО		8	2024-12-24 00:36:00.0000000
41	АБСУРДНОСТ		10	2024-12-24 00:36:00.0000000
42	АБСЦЕС		6	2024-12-24 00:36:00.0000000
43	АВАМ		4	2024-12-24 00:36:00.0000000
44	АВАНГАРД		8	2024-12-24 00:36:00.0000000
45	АВАНПОСТ		8	2024-12-24 00:36:00.0000000
46	АВАНС		5	2024-12-24 00:36:00.0000000
47	АВАНСИРАМ		9	2024-12-24 00:36:00.0000000
48	АВАНСОВО		8	2024-12-24 00:36:00.0000000
49	АВАНТА		6	2024-12-24 00:36:00.0000000
50	АВАНТАДЖИЯ		10	2024-12-24 00:36:00.0000000
51	АВАНТЮРА		8	2024-12-24 00:36:00.0000000
52	АВАНТЮРИСТ		10	2024-12-24 00:36:00.0000000
53	АВАНТЮРИСТИЧЕН		14	2024-12-24 00:36:00.0000000
54	АВАРИЕН		7	2024-12-24 00:36:00.0000000
55	АВАРИЯ		6	2024-12-24 00:36:00.0000000
56	АВВАМ		5	2024-12-24 00:36:00.0000000
57	АВГУСТЕЙИ		9	2024-12-24 00:36:00.0000000
58	АВДЖИЯ		6	2024-12-24 00:36:00.0000000
59	АВЕНЮ		5	2024-12-24 00:36:00.0000000
60	АВИАТОР		7	2024-12-24 00:36:00.0000000
61	АВИАЦИЯ		7	2024-12-24 00:36:00.0000000
62	АВИЗИРАМ		8	2024-12-24 00:36:00.0000000
63	АВИЗО		5	2024-12-24 00:36:00.0000000
64	АВЛИВА		6	2024-12-24 00:36:00.0000000
65	АВОАРИ		6	2024-12-24 00:36:00.0000000
66	АВТАРКИЯ		8	2024-12-24 00:36:00.0000000
67	АВТЕНТИЧЕН		10	2024-12-24 00:36:00.0000000
68	АВТЕНТИЧНОСТ		12	2024-12-24 00:36:00.0000000
69	АВТОГРАФ		8	2024-12-24 00:36:00.0000000
70	АВТОКРАТ		8	2024-12-24 00:36:00.0000000
71	АВТОКРАТИЧЕН		12	2024-12-24 00:36:00.0000000
72	АВТОКРАЦИЯ		10	2024-12-24 00:36:00.0000000
73	АВТОМАТ		7	2024-12-24 00:36:00.0000000
74	АВТОМАТИЧЕН		11	2024-12-24 00:36:00.0000000
75	АВТОМАТИЧЕСКИ		13	2024-12-24 00:36:00.0000000
76	АВТОМОБИЛ		9	2024-12-24 00:36:00.0000000
77	АВТОНОМЕН		9	2024-12-24 00:36:00.0000000
78	АВТОНОМИЯ		9	2024-12-24 00:36:00.0000000
79	АВТОР		5	2024-12-24 00:36:00.0000000
80	АВТОРИТАРЕН		11	2024-12-24 00:36:00.0000000
81	АВТОРИТЕТ		9	2024-12-24 00:36:00.0000000
82	АВТОРИТЕТА		10	2024-12-24 00:36:00.0000000
83	АВТОРИТЕТЕН		11	2024-12-24 00:36:00.0000000
84	АВТОРИТЕТНО		11	2024-12-24 00:36:00.0000000
85	АВТОРИТЕТНОСТ		13	2024-12-24 00:36:00.0000000
86	АВТОХТОНЕН		10	2024-12-24 00:36:00.0000000
87	АГА		3	2024-12-24 00:36:00.0000000
88	АГЕНТ		5	2024-12-24 00:36:00.0000000
89	АГЕНТИН		7	2024-12-24 00:36:00.0000000
90	АГЕНТСТВО		9	2024-12-24 00:36:00.0000000
