Id	EnName	Description	Length	DateTime
1	A		1	2024-12-23 23:43:00.0000000
2	AA		2	2024-12-23 23:43:00.0000000
3	AAHS		4	2024-12-23 23:43:00.0000000
4	AAI		3	2024-12-23 23:43:00.0000000
5	AARAAF		6	2024-12-23 23:43:00.0000000
6	AARDSMA		7	2024-12-23 23:43:00.0000000
7	AARON		5	2024-12-23 23:43:00.0000000
8	AAUP		4	2024-12-23 23:43:00.0000000
9	AAUPBULLETIN		12	2024-12-23 23:43:00.0000000
10	AAVPBULLETIN		12	2024-12-23 23:43:00.0000000
11	ABACK		5	2024-12-23 23:43:00.0000000
12	ABALONE		7	2024-12-23 23:43:00.0000000
13	ABAN		4	2024-12-23 23:43:00.0000000
14	ABANDON		7	2024-12-23 23:43:00.0000000
15	ABANDONED		9	2024-12-23 23:43:00.0000000
16	ABANDONING		10	2024-12-23 23:43:00.0000000
17	ABANDONMENT		11	2024-12-23 23:43:00.0000000
18	ABANDONS		8	2024-12-23 23:43:00.0000000
19	ABASEMENT		9	2024-12-23 23:43:00.0000000
20	ABATE		5	2024-12-23 23:43:00.0000000
21	ABATED		6	2024-12-23 23:43:00.0000000
22	ABATEMENT		9	2024-12-23 23:43:00.0000000
23	ABATING		7	2024-12-23 23:43:00.0000000
24	ABBA		4	2024-12-23 23:43:00.0000000
25	ABBESS		6	2024-12-23 23:43:00.0000000
26	ABBEY		5	2024-12-23 23:43:00.0000000
27	ABBOTS		6	2024-12-23 23:43:00.0000000
28	ABBOTT		6	2024-12-23 23:43:00.0000000
29	ABBRE		5	2024-12-23 23:43:00.0000000
30	ABBREV		6	2024-12-23 23:43:00.0000000
31	ABBREVIA		8	2024-12-23 23:43:00.0000000
32	ABBREVIATED		11	2024-12-23 23:43:00.0000000
33	ABBREVIATING		12	2024-12-23 23:43:00.0000000
34	ABBREVIATION		12	2024-12-23 23:43:00.0000000
35	ABBREVIATIONS		13	2024-12-23 23:43:00.0000000
36	ABBY		4	2024-12-23 23:43:00.0000000
37	ABC		3	2024-12-23 23:43:00.0000000
38	ABCS		4	2024-12-23 23:43:00.0000000
39	ABDICATING		10	2024-12-23 23:43:00.0000000
40	ABDICATION		10	2024-12-23 23:43:00.0000000
41	ABDOMEN		7	2024-12-23 23:43:00.0000000
42	ABDOMINAL		9	2024-12-23 23:43:00.0000000
43	ABDULLAH		8	2024-12-23 23:43:00.0000000
44	ABE		3	2024-12-23 23:43:00.0000000
45	ABEEL		5	2024-12-23 23:43:00.0000000
46	ABEL		4	2024-12-23 23:43:00.0000000
47	ABELARD		7	2024-12-23 23:43:00.0000000
48	ABELSON		7	2024-12-23 23:43:00.0000000
49	ABEND		5	2024-12-23 23:43:00.0000000
50	ABER		4	2024-12-23 23:43:00.0000000
51	ABERCROMBIE		11	2024-12-23 23:43:00.0000000
52	ABERRANT		8	2024-12-23 23:43:00.0000000
53	ABERRATION		10	2024-12-23 23:43:00.0000000
54	ABERRATIONS		11	2024-12-23 23:43:00.0000000
55	ABETH		5	2024-12-23 23:43:00.0000000
56	ABETHAN		7	2024-12-23 23:43:00.0000000
57	ABETHS		6	2024-12-23 23:43:00.0000000
58	ABETS		5	2024-12-23 23:43:00.0000000
59	ABETTED		7	2024-12-23 23:43:00.0000000
60	ABHOR		5	2024-12-23 23:43:00.0000000
61	ABHORRENCE		10	2024-12-23 23:43:00.0000000
